allstr,str_num,num_string,allnum,disc_num,nomeaning_num,nomeaning_str,missing10,missing50,targetnum,targetstr
e,6,8782,8592,1,1,T,1,,1,T
h,y,4276,5671,3,1,T,,,1,T
w,p,933,8665,4,1,T,,,1,T
f,3,9275,1110,0,1,T,,,1,T
i,r,5500,817,4,1,T,,,1,T
u,y,9312,7631,8,1,T,,,1,T
g,0,9604,3123,7,1,T,,,1,T
x,1,1430,9725,7,1,T,,,1,T
u,7,6890,7783,9,1,T,,,1,T
l,i,35,3164,5,1,T,,,1,T
w,e,9119,9743,6,1,T,,,1,T
s,1,7390,3840,1,1,T,,,1,T
r,e,3549,6175,0,1,T,,,1,T
y,0,9660,3380,10,1,T,,,1,T
f,1,3996,2692,1,1,T,,,1,T
h,5,8077,2047,4,1,T,,,1,T
e,7,8658,2581,1,1,T,,,1,T
j,i,891,1741,3,1,T,,,1,T
q,6,2192,8447,1,1,T,,,1,T
w,y,1515,911,1,1,T,,,1,T
i,5,7438,8095,7,1,T,,,1,T
m,2,3263,9695,6,1,T,,,1,T
a,u,1992,5330,9,1,T,,,1,T
r,i,2138,1212,10,1,T,,,1,T
j,y,9642,7054,9,1,T,,,1,T
y,6,7987,2109,4,1,T,,,1,T
v,u,1789,5590,2,1,T,,,1,T
g,t,8978,8998,1,1,T,,,1,T
b,8,6672,422,2,1,T,,,1,T
x,r,2379,5515,5,1,T,,,1,T
w,u,4367,2831,9,1,T,,,1,T
g,9,7563,6015,7,1,T,,,1,T
u,w,763,1852,10,1,T,,,1,T
g,t,3643,3046,3,1,T,,,1,T
z,6,6857,3951,8,1,T,,,1,T
n,1,8755,2423,7,1,T,,,1,T
a,p,8553,5448,1,1,T,,,1,T
f,6,4190,2989,8,1,T,,,1,T
k,5,1777,2845,10,1,T,,,1,T
f,t,5080,4917,10,1,T,,,1,T
i,y,9790,475,3,1,T,,,1,T
k,3,511,8440,4,1,T,,,1,T
z,1,7170,9686,1,1,T,,,1,T
j,u,566,2093,7,1,T,,,1,T
d,w,8110,7655,8,1,T,,,1,T
g,1,4405,5116,2,1,T,,,1,T
g,o,3384,8205,1,1,T,,,1,T
e,5,2286,336,9,1,T,,,1,T
d,u,6344,9373,4,1,T,,,1,T
i,r,2206,8698,6,1,T,,,1,T
v,i,1118,3171,2,1,T,,,1,T
m,r,598,2121,10,1,T,,,1,T
n,y,9701,1005,6,1,T,,,1,T
r,r,8434,6130,1,1,T,,,1,T
b,4,1647,2388,10,1,T,,,1,T
z,2,6794,2970,6,1,T,,,1,T
d,7,2519,7470,2,1,T,,,1,T
e,p,9486,2880,5,1,T,,,1,T
j,4,9797,6137,4,1,T,,,1,T
k,1,8911,2483,0,1,T,,,1,T
u,o,2436,2098,10,1,T,,,1,T
w,o,5659,3958,6,1,T,,,1,T
h,q,3818,9467,8,1,T,,,1,T
f,p,6037,5678,3,1,T,,,1,T
t,6,220,8081,10,1,T,,,1,T
